2022-10-03,Electronic Funds Transfer PREAUTHORIZED DEBIT CITY OF OTTAWA,648.87,
2022-09-01,Electronic Funds Transfer PREAUTHORIZED DEBIT CITY OF OTTAWA,650.00,
2022-08-02,Electronic Funds Transfer PREAUTHORIZED DEBIT CITY OF OTTAWA,650.00,
2022-07-04,Electronic Funds Transfer PREAUTHORIZED DEBIT CITY OF OTTAWA,650.00,
2022-06-01,Electronic Funds Transfer PREAUTHORIZED DEBIT CITY OF OTTAWA,609.00,
2022-05-02,Electronic Funds Transfer PREAUTHORIZED DEBIT CITY OF OTTAWA,609.00,
2022-04-01,Electronic Funds Transfer PREAUTHORIZED DEBIT CITY OF OTTAWA,609.00,
2022-03-01,Electronic Funds Transfer PREAUTHORIZED DEBIT CITY OF OTTAWA,609.00,
2022-02-01,Electronic Funds Transfer PREAUTHORIZED DEBIT CITY OF OTTAWA,609.00,
2022-01-04,Electronic Funds Transfer PREAUTHORIZED DEBIT CITY OF OTTAWA,609.00,
